Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time,Image Link,,
"Which IT job role best describes an individual who installs, modifies and repairs personal computer hardware components?", SEO analyst,PC repair technician,Network engineer,Help desk technician,2,,,, 
Which IT job role best describes an individual who is responsible for evaluating Web site statistics to determine the site's effectiveness?,Web application developer,Web site designer,Web site architect,Web site analyst,4,,,,
What is the term for an individual who is responsible for developing and implementing plans to take advantage of the sales and marketing opportunities available through the Internet?, Web application developer,Web site manager,Web site analyst,Web marketing manager,4,,,,
Which IT job role best describes an individual who is responsible for diagnosing and resolving users' technical hardware and software problems?, Network engineer,Security manager,PC repair technician,Help desk technician,4,,,,
Which IT job role best describes an individual who is responsible for the organization and appearance of a Web site?,Web site analyst,Web application developer,Web site designer,Web site architect,3,,,,
"Cloud computing is software services that are provided over the Internet. Which of the following IT job roles should be most familiar with cloud computing software, infrastructure and platform services?", SEO analyst,Web architect,Help desk technician,Server administrator,4,,,,
Which IT job role best describes an individual who provides organizational leadership for Web site content and all related initiatives?, Web application developer,Web architect,Web site analyst,Web site manager,4,,,,
What is the purpose of conducting an ontological study as it pertains to a particular organization or business?, To enable software engineers and programmers to accurately map technology solutions to business needs,To enable software engineers and programmers to accurately determine how an organization's data is used by particular applications,To enable software engineers and programmers to accurately determine the requirements that a database must fulfill in order to function properly for an organization,To enable software engineers and programmers to accurately predict the degree to which a demographic will adopt or accept a new product or innovation,1,,,,
"Which IT job role best describes an individual who is responsible for maintaining the software and procedures necessary to protect the confidentiality and integrity of information, and legitimate access to it?", Server administrator,Database administrator,Web site manager,Security manager,4,,,,
"As a new IT professional, you need to understand the needs of the business, as well as the various technologies required to design and deliver specific products. What is the term that describes this perspective in relation to IT?", Holistic,Architectural,Ontological,Cloud-based,1,,,,
Which IT job role best describes an individual who develops primarily server-side Web applications?, Database administrator,Web application developer,Server administrator,Web architect,2,,,,
Which IT job role best describes an individual who creates applications for devices such as smartphones and tablets?, Web application developer,Web architect,Mobile application developer,Web site designer,3,,,,
Which IT job role best describes an individual who is responsible for managing the maintenance and security of an organization's data?, Web site manager,Network engineer,Server administrator,Database administrator,4,,,,
Which IT job role best describes an individual who manages and maintains a network infrastructure?, Server administrator,Network engineer,PC repair technician,Database administrator,2,,,,
"To support an Internet client, you must have six elements. The first three -- a computer, an operating system and TCP/IP -- are generally acquired when you buy a computer. Which choice lists the other three elements you need to support an Internet client?"," Network access, administrator permission and server software","Internet connection, client software and server software","Server system, Internet connection and network access","Client software, Internet connection and Internet address",4,,,,
